id;password;name;email;address;contact;jhi_rank;casual_leave;sick_leave;join_date;is_employed
1;mobile Fish;Home Loan Account Table Computer;Jadon_Streich@gmail.com;alarm;Tasty Metal Bacon;HR;30424;61165;2019-11-13;false
2;Home Namibia;Steel zero administration;Darlene78@yahoo.com;grey Cambridgeshire;Canyon HDD;HR;80839;38541;2019-11-13;false
3;Public-key;infomediaries;Leone.Kunde17@gmail.com;incentivize Tuna copy;Costa Rica Mayotte;MANAGER;84228;77513;2019-11-13;true
4;Chief Credit Card Account;archive Georgia Aruba;Eric_Sporer@hotmail.com;South Georgia and the South Sandwich Islands;compelling mission-critical;HR;16526;7455;2019-11-14;true
5;index orange;Jewelery;Mekhi_Rath77@gmail.com;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;MANAGER;72960;59129;2019-11-13;false
6;Mississippi embrace Developer;synthesize Idaho compress;Aliza.Lebsack11@yahoo.com;partnerships;Outdoors;HR;69551;90756;2019-11-14;false
7;relationships override;Brand;Effie88@yahoo.com;Auto Loan Account modular Refined;digital maroon;HR;35629;31800;2019-11-13;false
8;Profit-focused;Jewelery cutting-edge;Adalberto_Cummerata@gmail.com;Bedfordshire Bahamian Dollar;24/7;MANAGER;40383;36362;2019-11-14;true
9;Functionality;Moroccan Dirham;Elise99@hotmail.com;mission-critical;Berkshire Small Plastic Pants Investor;HR;53093;48945;2019-11-13;true
10;Persistent Bulgarian Lev;24/7 Re-contextualized cross-platform;Lonzo.Wyman@yahoo.com;bypassing optical;installation;HR;85835;59089;2019-11-13;true
